market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2024-01-01T00:00:00.000000000Z,42288.58,44220.78,44240.8,42175.65,43013.46310093705,7977.72851143,343149730.955687728309033765775884,185059
coinbase-btc-usd-spot,2024-01-02T00:00:00.000000000Z,44220.78,44972.8,45925.82,44195.13,45193.37124340108,29583.38407747,1336972859.249221968590029167133359,439632
coinbase-btc-usd-spot,2024-01-03T00:00:00.000000000Z,44972.81,42862.44,45519.32,40625.68,43067.65810780915,32281.85234351,1390303779.817066104687456146521889,510353
coinbase-btc-usd-spot,2024-01-04T00:00:00.000000000Z,42860.58,44193.29,44800,42650,43790.08083236458,18193.81684353,796708710.22741487539364333820555,309746
coinbase-btc-usd-spot,2024-01-05T00:00:00.000000000Z,44198.35,44186.59,44443.37,42450,43723.99273348384,18073.09561495,790227901.339632556851833108995751,311713
coinbase-btc-usd-spot,2024-01-06T00:00:00.000000000Z,44187.76,43992.44,44260.95,43436.5,43868.02901420251,5691.43460343,249672018.315703393924575920776224,153348
coinbase-btc-usd-spot,2024-01-07T00:00:00.000000000Z,43992.79,43950.28,44510.01,43629.7,44086.99168762695,5931.34650683,261495224.143049392534506897317336,154900
coinbase-btc-usd-spot,2024-01-08T00:00:00.000000000Z,43954.52,46995.1,47330,43200.44,45567.33978809284,26447.17326625,1205127330.657778883620066165069931,459325
coinbase-btc-usd-spot,2024-01-09T00:00:00.000000000Z,46995.09,46124.08,47901,44701.54,46492.05620168508,26305.56366042,1222999744.117251371009389678212676,536608
coinbase-btc-usd-spot,2024-01-10T00:00:00.000000000Z,46120.79,46666.11,47732.5,44320.01,45830.26294637988,36534.39765866,1674381051.283992997479728098953065,607142
coinbase-btc-usd-spot,2024-01-11T00:00:00.000000000Z,46678.54,46342.66,49102.29,45555.55,46910.31865175674,38150.89478822,1789670631.36504564625295512020714,617875
