market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2022-01-01T00:00:00.000000000Z,46211.24,47733.43,47967.12,46205,47094.84684643866,9463.6617111,445689698.890760146129762392451009,367010
coinbase-btc-usd-spot,2022-01-02T00:00:00.000000000Z,47733.43,47299.07,47990,46633.36,47244.42153218779,6833.49845548,322844681.570251333361126859141788,349490
coinbase-btc-usd-spot,2022-01-03T00:00:00.000000000Z,47299.06,46459.56,47583.33,45700,46618.9115973857,10841.81020453,505433391.480618296514263690559902,351368
coinbase-btc-usd-spot,2022-01-04T00:00:00.000000000Z,46459.57,45814.61,47532.89,45515,46456.43150851394,16320.32712866,758184159.44913521050693288740461,431249
coinbase-btc-usd-spot,2022-01-05T00:00:00.000000000Z,45817.13,43436.04,47076.55,42500,45038.41167405827,25067.67476765,1129008255.896823766383052850538157,609241
coinbase-btc-usd-spot,2022-01-06T00:00:00.000000000Z,43446.34,43083.76,43794.5,42432.99,43081.75152793389,20780.04784989,895240858.207537886022029336068946,608201
coinbase-btc-usd-spot,2022-01-07T00:00:00.000000000Z,43081.79,41565.18,43144.72,40571.53,41842.05138265883,26122.19990673,1093006430.72548237152054314823788,559835
coinbase-btc-usd-spot,2022-01-08T00:00:00.000000000Z,41564.57,41684.84,42318.97,40505.3,41512.34565814931,15454.11315131,641536486.97733184387042607397317,357228
coinbase-btc-usd-spot,2022-01-09T00:00:00.000000000Z,41684.84,41876.52,42831.12,41209.53,41970.58582844134,11074.22498167,464791710.076649951643910027435322,384005
coinbase-btc-usd-spot,2022-01-10T00:00:00.000000000Z,41875.01,41824.07,42250,39650,41205.28359910215,25232.35739583,1039706442.369077818181117306448389,578038
coinbase-btc-usd-spot,2022-01-11T00:00:00.000000000Z,41820.69,42753.44,43130,41274.8,42264.57792001908,19697.46613255,832505092.186096229019114219016156,554064
coinbase-btc-usd-spot,2022-01-12T00:00:00.000000000Z,42749.84,43918.95,44342.83,42459.21,43466.72198937185,16250.21469714,706343564.508188888530091332152253,463968
coinbase-btc-usd-spot,2022-01-13T00:00:00.000000000Z,43921.21,42581.65,44453.22,42325,43283.20012046043,14772.17642511,639387068.422783953264266225262554,442102
coinbase-btc-usd-spot,2022-01-14T00:00:00.000000000Z,42576.27,43090.72,43473.98,41752,42729.7893653163,13545.75086459,578807081.23898190170114361121022,460174
coinbase-btc-usd-spot,2022-01-15T00:00:00.000000000Z,43090.72,43098.2,43819.39,42577.35,43188.11344833394,6318.38550193,272879149.867661225860285029561617,378421
coinbase-btc-usd-spot,2022-01-16T00:00:00.000000000Z,43101.43,43104.34,43497.24,42600,43096.29137927178,6481.6580227,279335422.767073760126467794052973,347095
coinbase-btc-usd-spot,2022-01-17T00:00:00.000000000Z,43104.35,42218.01,43200,41567.64,42449.36327757282,10963.85191034,465408532.663533421326314406508009,379185
coinbase-btc-usd-spot,2022-01-18T00:00:00.000000000Z,42211.02,42369.74,42692.71,41287.79,41855.04451166169,13658.50365699,571677278.526010422239015755827883,359753
coinbase-btc-usd-spot,2022-01-19T00:00:00.000000000Z,42372.15,41674.27,42586.03,41126,41940.89817577637,15642.41727542,656057030.171395387718905589718351,453827
coinbase-btc-usd-spot,2022-01-20T00:00:00.000000000Z,41672.14,40670.97,43511.99,40555,42163.46016812334,17860.82318928,753074107.111100926614474123968085,475634
coinbase-btc-usd-spot,2022-01-21T00:00:00.000000000Z,40671.77,36456.94,41127.79,35422,38345.82088310703,50746.87153736,1945930446.349648809017039448246465,1138950
coinbase-btc-usd-spot,2022-01-22T00:00:00.000000000Z,36456.67,35066.43,36835.93,34017.56,35390.13147899762,30044.12486365,1063265529.09599496923138315923526,741530
coinbase-btc-usd-spot,2022-01-23T00:00:00.000000000Z,35075.7,36282.47,36555.55,34625,35430.85061672409,17440.22740453,617922091.891600031252035532285167,586185
coinbase-btc-usd-spot,2022-01-24T00:00:00.000000000Z,36282.45,36693.32,37574.63,32933.33,34869.48807810276,38776.29020908,1352109389.158567856832593192433201,847267
