market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2018-01-01T00:00:00.000000000Z,13863.14,13480.01,13889,12952.5,13424.63666783059,12295.00653579,165055995.571583142099985312777996,106390
coinbase-btc-usd-spot,2018-01-02T00:00:00.000000000Z,13480,14781.51,15275,13005,14173.18831198895,26387.93493436,374001170.989196081000021813306394,175428
coinbase-btc-usd-spot,2018-01-03T00:00:00.000000000Z,14781.52,15098.14,15400,14628,14999.05533274114,17877.49528646,268145541.012432533300001514944781,139734
coinbase-btc-usd-spot,2018-01-04T00:00:00.000000000Z,15098.23,15144.99,15400,14230,14865.01435475508,20010.43634249,297455423.476026544399958782993925,143925
coinbase-btc-usd-spot,2018-01-05T00:00:00.000000000Z,15145,16960.01,17178,14819.78,16026.72349758878,22917.78066891,367296933.959005857700014187754646,165302
coinbase-btc-usd-spot,2018-01-06T00:00:00.000000000Z,16960.01,17098.99,17174,16251.01,16711.59325071856,14104.21391996,235703886.151494238099993424192272,151742
coinbase-btc-usd-spot,2018-01-07T00:00:00.000000000Z,17099,16174.22,17115.01,15755.01,16415.94782074586,12341.08084887,202590539.266655953200001380683223,101251
coinbase-btc-usd-spot,2018-01-08T00:00:00.000000000Z,16174.22,14993.74,16275,14000,15099.52719554648,23151.96462195,349583719.439464088399995279772796,158739
coinbase-btc-usd-spot,2018-01-09T00:00:00.000000000Z,14993.73,14480.99,15384,14230,14774.46568282141,15384.62464501,227299608.860788728300029877235085,121251
coinbase-btc-usd-spot,2018-01-10T00:00:00.000000000Z,14481,14875.18,14875.18,13550.01,14219.61046182016,22664.54513634,322281003.133095502599987842897285,175126
coinbase-btc-usd-spot,2018-01-11T00:00:00.000000000Z,14875.17,13308.06,14970,12800.01,13583.54552174652,28889.12130985,392416694.395604792799977769630403,157442
coinbase-btc-usd-spot,2018-01-12T00:00:00.000000000Z,13308.06,13820,14080.83,12900,13603.43258178752,14816.77240977,201558964.555995556200015269594147,91873
coinbase-btc-usd-spot,2018-01-13T00:00:00.000000000Z,13820,14187.95,14500,13792.25,14201.64024617769,10491.10485473,148990896.931803700899980484144371,73860
coinbase-btc-usd-spot,2018-01-14T00:00:00.000000000Z,14187.94,13656.23,14332.85,13110,13634.80192123849,10783.39313813,147029429.477244842699996724235894,78081
coinbase-btc-usd-spot,2018-01-15T00:00:00.000000000Z,13656.23,13590,14253,13416,13831.46097665027,10511.84043108,145394110.715257577900001906722034,64906
coinbase-btc-usd-spot,2018-01-16T00:00:00.000000000Z,13590,11570.01,13643.66,9928.62,11738.63479368476,62207.83296297,730235032.45884934380002351103581,275706
coinbase-btc-usd-spot,2018-01-17T00:00:00.000000000Z,11570.01,11200.01,12358.89,9005,10530.05831628316,63957.23278928,673473391.019215795100098122486226,241096
coinbase-btc-usd-spot,2018-01-18T00:00:00.000000000Z,11204.64,11305.53,12123.1,10687.21,11554.62553595423,30134.64772622,348194570.134366566000034640097552,122536
coinbase-btc-usd-spot,2018-01-19T00:00:00.000000000Z,11280,11498.99,11973.99,11050,11462.58865362241,15959.30876174,182934991.531977589100009630558053,70459
coinbase-btc-usd-spot,2018-01-20T00:00:00.000000000Z,11499,12762.8,12985.55,11498.99,12393.22029676262,18749.95639326,232372340.136363933599969992682966,85650
coinbase-btc-usd-spot,2018-01-21T00:00:00.000000000Z,12762.8,11518.17,12762.8,11118,11832.68201879685,16426.17776825,194365738.31593237270002325410836,78293
coinbase-btc-usd-spot,2018-01-22T00:00:00.000000000Z,11518.17,10766.7,11849,10025,10778.72519113709,24352.57045749,262489664.659088320199981644099762,106256
coinbase-btc-usd-spot,2018-01-23T00:00:00.000000000Z,10766.7,10824.94,11370,9945,10720.08316333982,21897.02947424,234737976.993956039699981334858193,98492
coinbase-btc-usd-spot,2018-01-24T00:00:00.000000000Z,10824.95,11356.79,11450,10450,10983.51514158377,15159.74617502,166507301.655898797499987385927828,101413
coinbase-btc-usd-spot,2018-01-25T00:00:00.000000000Z,11356.8,11118,11690,10851,11292.47680794397,13803.3994887,155874568.596930398599975015043666,85368
coinbase-btc-usd-spot,2018-01-26T00:00:00.000000000Z,11118,11086.89,11570,10305,10933.42669317549,19343.28195401,211488355.249592741900019817130564,90263
coinbase-btc-usd-spot,2018-01-27T00:00:00.000000000Z,11086.88,11319,11494.08,10850,11213.32582507775,12301.187315,137937221.398408286699998920628032,66616
coinbase-btc-usd-spot,2018-01-28T00:00:00.000000000Z,11319,11536,11697.24,11234.38,11451.95441412833,13684.87204513,156718530.824007890299998116308325,92416
coinbase-btc-usd-spot,2018-01-29T00:00:00.000000000Z,11536,11123.01,11570,10840,11140.27379624448,11166.05984506,124392963.899219586400014136263134,73480
coinbase-btc-usd-spot,2018-01-30T00:00:00.000000000Z,11123.01,9995,11150,9711.11,10296.79617578163,27589.87336945,284087302.600852251099919358226286,117615
coinbase-btc-usd-spot,2018-01-31T00:00:00.000000000Z,9995,10099.99,10299.95,9601.02,9904.798457697631,19533.73809729,193477738.979107456700039020832978,99920
coinbase-btc-usd-spot,2018-02-01T00:00:00.000000000Z,10099.99,9014.23,10166.25,8400,9128.07590037691,38171.97003425,348436639.739547004300028824221417,172314
coinbase-btc-usd-spot,2018-02-02T00:00:00.000000000Z,9014.22,8787.68,9090.08,7540,8437.696926393797,52039.26807721,439091572.306857644200013882770115,237076
coinbase-btc-usd-spot,2018-02-03T00:00:00.000000000Z,8785,9240,9499,8115.48,8931.380040616252,23700.98508963,211682505.172464777699988542142769,147826
coinbase-btc-usd-spot,2018-02-04T00:00:00.000000000Z,9227.8,8167.91,9350,7859,8509.601600524902,24062.18195663,204759582.090260064500029191308059,117151
coinbase-btc-usd-spot,2018-02-05T00:00:00.000000000Z,8167.9,6905.19,8349.16,6425.75,7261.178721606544,59578.69822102,432611575.783488083799975776829873,200549
coinbase-btc-usd-spot,2018-02-06T00:00:00.000000000Z,6905.2,7691.25,7948.89,5873,6827.309524785934,91895.11062729,627396364.066954124300173108528225,273576
coinbase-btc-usd-spot,2018-02-07T00:00:00.000000000Z,7688.47,7575.75,8650,7212.82,7934.700594520447,50916.57889564,404007808.834181964200004913945799,153515
coinbase-btc-usd-spot,2018-02-08T00:00:00.000000000Z,7575.76,8225,8625,7550,8185.600996386129,31649.57658512,259070805.63035737919998557426057,109754
coinbase-btc-usd-spot,2018-02-09T00:00:00.000000000Z,8218.07,8674,8700,7750,8235.328354432747,27558.51614051,226953429.378034519700037956057456,94979
coinbase-btc-usd-spot,2018-02-10T00:00:00.000000000Z,8671,8547.49,9090,8155,8638.700959771321,24910.69248868,215196023.110528145399919109381177,98219
coinbase-btc-usd-spot,2018-02-11T00:00:00.000000000Z,8547.48,8072.99,8547.49,7851,8183.456021650939,16804.11338411,137515722.861700111500002038853575,70922
coinbase-btc-usd-spot,2018-02-12T00:00:00.000000000Z,8073,8872.28,8950,8072.99,8624.590119501234,19718.28616707,170062136.050009779900004785591549,74258
coinbase-btc-usd-spot,2018-02-13T00:00:00.000000000Z,8872.27,8520.01,8925,8393.1,8627.288972302437,13952.55754805,120372745.869706897999999500933577,68566
coinbase-btc-usd-spot,2018-02-14T00:00:00.000000000Z,8520.01,9472.98,9482.5,8520,9102.202625799004,24374.64430846,221862951.427381355199963882944735,97396
coinbase-btc-usd-spot,2018-02-15T00:00:00.000000000Z,9472.98,10031.23,10249.81,9342.46,9840.071264443111,32372.79739747,318550633.420483267299935829158805,111837
coinbase-btc-usd-spot,2018-02-16T00:00:00.000000000Z,10031.23,10167.49,10307.68,9729.58,10035.3066102497,17843.54690778,179065464.233945173100012293815055,74512
coinbase-btc-usd-spot,2018-02-17T00:00:00.000000000Z,10167.49,11121.5,11149,10057,10698.09114725294,20781.56168216,222323041.058006732900007636040476,87054
coinbase-btc-usd-spot,2018-02-18T00:00:00.000000000Z,11121.5,10380.04,11299.1,10159,10751.43356856146,26975.93580105,290029981.714767963599972584128503,114320
coinbase-btc-usd-spot,2018-02-19T00:00:00.000000000Z,10380.03,11140,11274.11,10297.39,10900.9595453461,17634.43505308,192232263.118658309499991221014047,75814
