market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2021-01-01T00:00:00.000000000Z,28990.08,29412.84,29688.88,28700,29269.15134944383,22211.25251806,650104511.61181354498070204549,218963
coinbase-btc-usd-spot,2021-01-02T00:00:00.000000000Z,29413.29,32225.91,33300,29039,31490.19761246927,46675.24652146,1469812736.57149413108646555766,390778
coinbase-btc-usd-spot,2021-01-03T00:00:00.000000000Z,32222.88,33080.66,34810,32008.62,33491.98421405495,36951.71650628,1237586305.910563697576981338401382,370654
coinbase-btc-usd-spot,2021-01-04T00:00:00.000000000Z,33082.84,32019.99,33666.99,27678,31450.51142343962,46045.38968508,1448151054.28733710582752114607,417486
coinbase-btc-usd-spot,2021-01-05T00:00:00.000000000Z,32020.22,34030.64,34499.67,29891.13,32371.44796761057,42282.56920027,1368747988.80343338341035857288,371499
coinbase-btc-usd-spot,2021-01-06T00:00:00.000000000Z,34043.91,36859.26,37000,33352.54,35051.48525341204,45744.10320015,1603398758.75061614803166545157,416066
coinbase-btc-usd-spot,2021-01-07T00:00:00.000000000Z,36859.26,39505.56,40425,36200,38344.69866596613,50346.30569052,1930513920.64760529772102513016,499818
coinbase-btc-usd-spot,2021-01-08T00:00:00.000000000Z,39510.55,40665.15,41986.37,36565.08,39811.23263715777,48522.48490272,1931739934.595161451232797368304228,508689
coinbase-btc-usd-spot,2021-01-09T00:00:00.000000000Z,40642.15,40257.43,41406.94,38800,40342.11664715634,27152.97102881,1095408324.56110981254581211118,334366
coinbase-btc-usd-spot,2021-01-10T00:00:00.000000000Z,40257.43,38171.57,41452.12,34444,38655.97467749098,43736.57031589,1690679754.61134747475438800301,480349
coinbase-btc-usd-spot,2021-01-11T00:00:00.000000000Z,38168.89,35452.59,38273.88,30100,33753.87650356242,102503.15672849,3459878893.438754745710787082398403,954154
coinbase-btc-usd-spot,2021-01-12T00:00:00.000000000Z,35456.89,34038.98,36604.51,32500,34693.25520089013,48227.62752035,1673173389.296974801193545430597369,408568
coinbase-btc-usd-spot,2021-01-13T00:00:00.000000000Z,34035.53,37393.66,37888,32309.04,34772.43346258183,39608.73718747,1377292178.38819115817726435949,349655
coinbase-btc-usd-spot,2021-01-14T00:00:00.000000000Z,37393.67,39125.14,40127.66,36751.11,38619.98092152161,31868.76049365,1230770922.25730474627997220725,302097
coinbase-btc-usd-spot,2021-01-15T00:00:00.000000000Z,39123.05,36754.67,39697,34298.93,36732.47205947832,36421.05918785,1337835538.994306349582245125746016,378493
coinbase-btc-usd-spot,2021-01-16T00:00:00.000000000Z,36754.6,36006.94,37948,35372.59,36726.42249022847,20861.42545209,766165524.90186282849859498324,227051
coinbase-btc-usd-spot,2021-01-17T00:00:00.000000000Z,36004.8,35820,36860,33850.03,35504.75903411634,19182.04934663,681054039.832626950324286768952211,208732
coinbase-btc-usd-spot,2021-01-18T00:00:00.000000000Z,35820.01,36624.23,37402,34736.46,36048.55912975522,16609.64108414,598753628.74563239236063359928,188102
coinbase-btc-usd-spot,2021-01-19T00:00:00.000000000Z,36624.23,35917.28,37857,35895.11,36870.81164431585,18904.77910604,697034549.59619857083428579947,210187
coinbase-btc-usd-spot,2021-01-20T00:00:00.000000000Z,35921.91,35503.09,36415.34,33387.01,34955.53601841171,25445.70800774,889468362.77854291952629528139,280748
coinbase-btc-usd-spot,2021-01-21T00:00:00.000000000Z,35498.85,30855.95,35628.24,30011,32082.79307727045,50473.11375071,1619318464.429562913685224877346827,475320
coinbase-btc-usd-spot,2021-01-22T00:00:00.000000000Z,30855.9,32984.93,33867,28732,31251.91988474498,48155.72161708,1504958753.969065815708583112105423,446779
coinbase-btc-usd-spot,2021-01-23T00:00:00.000000000Z,32982.66,32112.01,33488.79,31432.19,32320.86172990996,16139.81478284,521652721.94252846272673914212928,178141
coinbase-btc-usd-spot,2021-01-24T00:00:00.000000000Z,32110,32288.56,33086.53,30931.21,32069.13661971979,13618.80097809,436743189.163141815303348846969828,164557
coinbase-btc-usd-spot,2021-01-25T00:00:00.000000000Z,32293.18,32261.87,34888,31920.8,33421.39408676954,23045.66293389,770218182.904395335224095326243285,218052
coinbase-btc-usd-spot,2021-01-26T00:00:00.000000000Z,32260.52,32510.82,32960.37,30830,31978.07771588641,23535.83891688,752630885.992572518317771441362477,235368
coinbase-btc-usd-spot,2021-01-27T00:00:00.000000000Z,32510.82,30407.13,32584.62,29156,30779.16495077457,46207.08537355,1422215502.607018369435235013710557,372360
coinbase-btc-usd-spot,2021-01-28T00:00:00.000000000Z,30414.11,33488.99,34000,29902.14,31962.1819598585,36007.06269488,1150864289.693787632031478369248134,288709
coinbase-btc-usd-spot,2021-01-29T00:00:00.000000000Z,33487.92,34262.11,38664.33,31990,35400.69834342009,74598.85015841,2640851391.223868452860454800859592,633882
coinbase-btc-usd-spot,2021-01-30T00:00:00.000000000Z,34262.11,34315.63,34900,32852.86,33971.75274481092,21362.15173754,725709736.92484175319509796709241,267388
coinbase-btc-usd-spot,2021-01-31T00:00:00.000000000Z,34315.6299999999974,33137.74,34387.75,32200,33282.85504590791,16436.39757593,547050237.996590380493142672910606,220555
coinbase-btc-usd-spot,2021-02-01T00:00:00.000000000Z,33137.75,33533.19,34728.57,32333,33681.69565770197,21975.41378272,740169198.981644322629901324081052,255618
coinbase-btc-usd-spot,2021-02-02T00:00:00.000000000Z,33534.39,35516.14,36000,33450,34827.47302777573,19995.83908338,696404546.34416081905889765373748,224795
coinbase-btc-usd-spot,2021-02-03T00:00:00.000000000Z,35513,37681.45,37723.72,35393.8,36683.87504736944,23777.88932231,872265120.789799963346060724671808,269802
coinbase-btc-usd-spot,2021-02-04T00:00:00.000000000Z,37688.42,36975,38769,36156.45,37495.74544430481,31699.36292316,1188591242.913441384081188649256238,340704
coinbase-btc-usd-spot,2021-02-05T00:00:00.000000000Z,36976.5899999999965,38311.49,38349,36605.87,37668.77293766864,17842.70173175,672112680.127837785270513901131653,281350
coinbase-btc-usd-spot,2021-02-06T00:00:00.000000000Z,38327.09,39265.43,41000,38250,39756.13120400341,27102.80602941,1077502712.501878628628046100543146,333273
coinbase-btc-usd-spot,2021-02-07T00:00:00.000000000Z,39266.1,38871.42,39737.83,37371.35,38612.34009942408,20297.87256102,783748358.620872391140898382905297,268597
coinbase-btc-usd-spot,2021-02-08T00:00:00.000000000Z,38871.43,46448.1,46750,38057.01,43019.84576275181,47934.0103883,2062113733.694808935442238596948453,513310
coinbase-btc-usd-spot,2021-02-09T00:00:00.000000000Z,46453.66,46514.7300000000032,48200,45020,46695.86022844967,36418.79365116,1700606898.023317599757983659187317,479724
coinbase-btc-usd-spot,2021-02-10T00:00:00.000000000Z,46514.7300000000032,44850,47349.99,43706.86,45527.68039370747,25818.01157857,1175434179.550173745393377117956414,386113
coinbase-btc-usd-spot,2021-02-11T00:00:00.000000000Z,44850,48015.31,48690,44011,46791.7463827858,26223.82023668,1227058345.70249644772446784917905,350890
coinbase-btc-usd-spot,2021-02-12T00:00:00.000000000Z,47993.6,47408.3399999999965,48912,46300,47580.45847275443,23503.15583529,1118290930.19969172869257031816366,345196
coinbase-btc-usd-spot,2021-02-13T00:00:00.000000000Z,47408.3399999999965,47233.56,48199,46300,47251.18060772267,12020.8773325,568000645.901237059297397709417591,245847
coinbase-btc-usd-spot,2021-02-14T00:00:00.000000000Z,47240.75,48680.69,49700,47100.13,48643.7115519108,15146.55244091,736784527.941516416183751836404665,259811
coinbase-btc-usd-spot,2021-02-15T00:00:00.000000000Z,48667.23,47936.37,49093.44,45768.46,47553.52064137999,19432.15278111,924067278.382963976714278098834362,331947
coinbase-btc-usd-spot,2021-02-16T00:00:00.000000000Z,47935.66,49158.71,50645,47051.22,48922.85569184894,23053.20561135,1127828651.358598311785183943890085,339861
coinbase-btc-usd-spot,2021-02-17T00:00:00.000000000Z,49141.42,52170.010000000002,52640.35,48942.87,50997.19320241236,25675.171441,1309361678.481737121070569930850049,366871
coinbase-btc-usd-spot,2021-02-18T00:00:00.000000000Z,52170.010000000002,51601.73,52549.99,50875,51882.16718823446,15689.39332435,813999727.535896293043269533973199,282755
coinbase-btc-usd-spot,2021-02-19T00:00:00.000000000Z,51596,55983.56,56370.05,50725,53884.44588314879,27961.48197104,1506688962.081145446605230934606271,475774
coinbase-btc-usd-spot,2021-02-20T00:00:00.000000000Z,55983.57,55923.52,57563.57,54000.1,56310.30079519839,22137.82194494,1246587412.670115252117963481627543,528086
coinbase-btc-usd-spot,2021-02-21T00:00:00.000000000Z,55921.44,57489.16,58367,55531.23,57215.08250750326,13530.43444443,774144923.100426493748401356988015,342450
coinbase-btc-usd-spot,2021-02-22T00:00:00.000000000Z,57489.16,54142.1299999999974,57577.69,46616,53436.64723471624,49449.16575779,2642397626.650033930317569401357462,818993
