market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2016-01-01T00:00:00.000000000Z,430.35,435.66,437.15,427.92,433.3581006605548,3863.27745054,1674182.578290764799995524308197,12169
coinbase-btc-usd-spot,2016-01-02T00:00:00.000000000Z,435.67,435.4,437.56,432.41,435.2863463259863,3276.70962113,1426306.958952884399993783858101,11498
coinbase-btc-usd-spot,2016-01-03T00:00:00.000000000Z,435.4,431.91,435.75,425.02,430.6978450034134,3904.33531811,1681588.807680693599994689697762,14239
coinbase-btc-usd-spot,2016-01-04T00:00:00.000000000Z,431.9,433.85,435.79,431.37,433.9382144891547,5894.44572317,2557825.252515623899985939858406,11353
coinbase-btc-usd-spot,2016-01-05T00:00:00.000000000Z,433.84,433.34,435.64,430,433.3001989728983,5150.10947569,2231543.460548686000001614997917,13848
coinbase-btc-usd-spot,2016-01-06T00:00:00.000000000Z,433.32,430.87,433.46,428.15,431.8290060186106,5476.95995944,2365110.175288704999990749636427,15951
coinbase-btc-usd-spot,2016-01-07T00:00:00.000000000Z,430.66,459.07,460.15,430.64,450.8601427369152,13907.20172902,6270202.956617031399975357349136,29221
coinbase-btc-usd-spot,2016-01-08T00:00:00.000000000Z,459.07,454.44,464.4,447.53,456.2974464680015,8347.0950396,3808758.151995201899995285483288,20065
coinbase-btc-usd-spot,2016-01-09T00:00:00.000000000Z,454.41,450.38,456,447.66,452.1122647038255,4247.63965095,1920409.982236771300004860512914,18801
coinbase-btc-usd-spot,2016-01-10T00:00:00.000000000Z,450.39,449.99,451.39,442.96,446.8885429819467,3954.32239952,1767141.375602368100010934543343,11582
coinbase-btc-usd-spot,2016-01-11T00:00:00.000000000Z,449.99,449.19,452.65,445.88,449.1755604215085,5597.63718315,2514321.818777675200012373891659,15254
coinbase-btc-usd-spot,2016-01-12T00:00:00.000000000Z,449.26,434.01,449.44,431.83,445.9069913008132,6596.94545292,2941624.098687137799996043107208,14014
coinbase-btc-usd-spot,2016-01-13T00:00:00.000000000Z,434.01,432.77,437.5,425,431.1829276650144,9009.15070912,3884591.978533702199993651555524,21567
