market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2023-01-01T00:00:00.000000000Z,16531.83,16611.58,16621,16490,16550.74938668403,10668.73697739,176575591.985230833601184265262166,269059
coinbase-btc-usd-spot,2023-01-02T00:00:00.000000000Z,16611.9,16666.95,16789.99,16542.52,16692.22306497623,13560.46017964,226354226.182278551724678958604051,326272
coinbase-btc-usd-spot,2023-01-03T00:00:00.000000000Z,16666.86,16669.47,16772.3,16600,16675.12403992124,17612.35527749,293688208.887307113393422484930207,339355
coinbase-btc-usd-spot,2023-01-04T00:00:00.000000000Z,16668.95,16844.42,16988,16645.87,16835.04412976019,25922.70680625,436409913.046053753598227274408421,471496
coinbase-btc-usd-spot,2023-01-05T00:00:00.000000000Z,16844.4,16825.69,16872.13,16750.07,16825.44293567369,14918.22913349,251005812.986840820397101686687166,352945
coinbase-btc-usd-spot,2023-01-06T00:00:00.000000000Z,16825.53,16948.06,17027.11,16670.82,16834.44423537044,24235.38704157,407989271.673929616801078346658213,439528
coinbase-btc-usd-spot,2023-01-07T00:00:00.000000000Z,16948,16942.37,16977.76,16903.58,16934.52564067559,5680.11799379,96190103.807899532289254464768595,207511
coinbase-btc-usd-spot,2023-01-08T00:00:00.000000000Z,16942.37,17125.18,17167.52,16910.41,16968.75022664967,9195.45985397,156035461.481201376598958480798855,270052
coinbase-btc-usd-spot,2023-01-09T00:00:00.000000000Z,17125.17,17177.98,17396.25,17102.97,17244.28352500203,33252.15435855,573409577.575968200194071834887937,604764
coinbase-btc-usd-spot,2023-01-10T00:00:00.000000000Z,17177.94,17443.5,17494.37,17145.1,17309.51100988428,24901.57485784,431034084.165239128403661740110212,526012
coinbase-btc-usd-spot,2023-01-11T00:00:00.000000000Z,17443.5,17944.27,17998,17315.08,17512.94830728726,27251.01602186,477245634.911891063013744101927214,550162
coinbase-btc-usd-spot,2023-01-12T00:00:00.000000000Z,17944.15,18847.75,19115.85,17904.83,18379.74137505692,61938.44269045,1138412557.824255401807729961730065,939140
coinbase-btc-usd-spot,2023-01-13T00:00:00.000000000Z,18847.77,19934.88,20000,18714.8,19221.62162664608,55049.6223488,1058143011.478393737497183539658777,847682
coinbase-btc-usd-spot,2023-01-14T00:00:00.000000000Z,19934.07,20957.02,21321.98,19893.25,20772.89460785266,58239.87328811,1209810749.78860262647408419482445,1088914
coinbase-btc-usd-spot,2023-01-15T00:00:00.000000000Z,20956.2,20879.7,21057.3,20560.16,20786.80251644054,25709.30241812,534414192.200907724186184288714745,612819
coinbase-btc-usd-spot,2023-01-16T00:00:00.000000000Z,20879.67,21187.5,21465.62,20611.45,21056.98901601802,41151.35428763,866523615.228890916221367189017736,701099
coinbase-btc-usd-spot,2023-01-17T00:00:00.000000000Z,21191.46,21136.33,21595,20844.73,21219.31369867889,32656.47978348,692948088.820227449106920090634625,522945
coinbase-btc-usd-spot,2023-01-18T00:00:00.000000000Z,21135.01,20674.29,21650.21,20370.01,21047.80625599761,34600.25647175,728259494.625221411695117837701563,667361
coinbase-btc-usd-spot,2023-01-19T00:00:00.000000000Z,20674.03,21084.22,21197,20656.52,20890.18452793234,23436.75404601,489598116.756913812301582414242331,479012
coinbase-btc-usd-spot,2023-01-20T00:00:00.000000000Z,21084.05,22669.81,22754.73,20865.64,21536.15543483046,32810.59587882,706614092.755675218000037021204421,683942
coinbase-btc-usd-spot,2023-01-21T00:00:00.000000000Z,22671.09,22789.37,23375.6,22432.45,22922.52925834313,32657.60500465,748594906.226502598999989456231873,664238
coinbase-btc-usd-spot,2023-01-22T00:00:00.000000000Z,22789.34,22714.87,23082.82,22298.15,22787.42417280043,25548.28914044,582179701.532557271300009181649023,540143
coinbase-btc-usd-spot,2023-01-23T00:00:00.000000000Z,22714.81,22920.29,23180.55,22500.01,22850.26453882844,32380.77464386,739909266.584389391901121530781575,528388
coinbase-btc-usd-spot,2023-01-24T00:00:00.000000000Z,22920.67,22636.17,23165.56,22460.17,22924.30136386883,39180.10567306,898176549.91745421209850319834294,624155
