market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2025-01-01T00:00:00.000000000Z,93347.59,94383.59,94960.91,92743.63,93823.71698010154,6871.73848196,644732046.492687636289608043347683,403692
coinbase-btc-usd-spot,2025-01-02T00:00:00.000000000Z,94383.59,96903.19,97776.99,94177,96538.82701788449,10912.47383962,1053477424.34026496585597870708015,572114
coinbase-btc-usd-spot,2025-01-03T00:00:00.000000000Z,96905.48,98136.51,98969.92,96016.63,97649.66301802983,9021.88538159,880984067.299553011469075101129666,531894
coinbase-btc-usd-spot,2025-01-04T00:00:00.000000000Z,98139.85,98209.85,98761.02,97516.65,98005.07535542723,2742.08960614,268738698.481084479468565501923003,373116
coinbase-btc-usd-spot,2025-01-05T00:00:00.000000000Z,98209.85,98345.33,98814,97250,98066.48104628252,2377.92175899,233194419.107535627498255256483708,345454
coinbase-btc-usd-spot,2025-01-06T00:00:00.000000000Z,98347.65,102279.41,102500,97900,100977.6465808652,15173.55606778,1532189981.987231642192488953050672,607055
coinbase-btc-usd-spot,2025-01-07T00:00:00.000000000Z,102279.41,96941.98,102735.99,96105.11,98622.44034362919,16587.2869223,1635878714.957192391450844388661122,660920
coinbase-btc-usd-spot,2025-01-08T00:00:00.000000000Z,96941.98,95036.63,97254.35,92500,94964.70319423376,14182.29739458,1346817662.688644512421308967163591,677291
coinbase-btc-usd-spot,2025-01-09T00:00:00.000000000Z,95033.18,92547.44,95363.26,91187,93050.05487376477,9712.37853215,903737355.371332364949420208387478,616177
coinbase-btc-usd-spot,2025-01-10T00:00:00.000000000Z,92547.44,94701.18,95862.92,92209.25,94190.30645668578,12634.03407823,1190003541.612695372471654855457448,593932
coinbase-btc-usd-spot,2025-01-11T00:00:00.000000000Z,94701.48,94565.02,94983.65,93804.05,94325.42567241296,2638.69956767,248896459.942084800596911593416676,310749
coinbase-btc-usd-spot,2025-01-12T00:00:00.000000000Z,94569.91,94509.62,95383.84,93670.3,94482.86962602364,2025.81612971,191404921.269685728302053587792508,306418
coinbase-btc-usd-spot,2025-01-13T00:00:00.000000000Z,94507.24,94506.45,95900,89028.64,92280.30349212957,13094.86359481,1208397986.717105648902038053266237,679433
coinbase-btc-usd-spot,2025-01-14T00:00:00.000000000Z,94507.35,96534.96,97353.29,94311.36,96119.55830564551,11210.74226727,1077571595.008423261272247624239218,574071
coinbase-btc-usd-spot,2025-01-15T00:00:00.000000000Z,96534.97,100510.23,100716.45,96400,98789.20029616027,13610.74729401,1344594840.608375205213389580064755,689996
coinbase-btc-usd-spot,2025-01-16T00:00:00.000000000Z,100504.27,99981.78,100880,97277.58,99449.91548344329,12312.37366854,1224464520.736875659878532453184174,677023
coinbase-btc-usd-spot,2025-01-17T00:00:00.000000000Z,99981.46,104107,105970,99937.81,103710.1893713757,20518.30949325,2127957763.125453685782579378281791,865515
coinbase-btc-usd-spot,2025-01-18T00:00:00.000000000Z,104107,104435,104933.15,102233.45,103764.3068921973,7835.29991824,813024465.30866385044037266383716,677008
coinbase-btc-usd-spot,2025-01-19T00:00:00.000000000Z,104435.01,101211.13,106314.44,99518,103589.6109554679,13312.63685598,1379050872.702392020669719526716898,804915
coinbase-btc-usd-spot,2025-01-20T00:00:00.000000000Z,101217.78,102145.43,109358.01,99416.27,104802.968706996,32342.18311338,3389556804.747498137516649203549809,1338325
coinbase-btc-usd-spot,2025-01-21T00:00:00.000000000Z,102145.42,106159.26,107291.1,100051,104823.2037743078,19411.23488978,2034747830.36236314106829458508729,952052
