market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2018-01-01T00:00:00.000000000Z,13863.14,13586.93,13885.34,13536.13,13683.27726862958,975.33688204,13345804.987273978699997778966624,5910
coinbase-btc-usd-spot,2018-01-01T01:00:00.000000000Z,13588,13345.7,13673.99,13332.11,13500.03047850227,824.68339289,11133250.939129662799993618283375,5388
coinbase-btc-usd-spot,2018-01-01T02:00:00.000000000Z,13345.71,13438,13488.99,13320.01,13406.24496032755,520.56952442,6978882.563255735700000756344347,5438
coinbase-btc-usd-spot,2018-01-01T03:00:00.000000000Z,13438,13474,13703.9,13400.57,13543.04256598115,630.81549071,8543161.04196581829999343902593,4915
coinbase-btc-usd-spot,2018-01-01T04:00:00.000000000Z,13474,13620,13649,13361.01,13531.86205032836,475.27304199,6431329.240448596599998226488036,4138
coinbase-btc-usd-spot,2018-01-01T05:00:00.000000000Z,13620,13508.01,13620,13462.71,13529.66654044456,443.02198473,5993939.723482821100000089615423,3763
coinbase-btc-usd-spot,2018-01-01T06:00:00.000000000Z,13508.01,13797.99,13800,13400,13596.49610083831,504.20403246,6855408.161369340699994877903972,4905
coinbase-btc-usd-spot,2018-01-01T07:00:00.000000000Z,13798,13605.91,13889,13580.01,13740.8873942563,444.90614719,6113405.269550210399998055889734,3592
coinbase-btc-usd-spot,2018-01-01T08:00:00.000000000Z,13601.29,13474.97,13700,13432,13536.58816561078,412.9200326,5589528.426636778699999956747979,3874
coinbase-btc-usd-spot,2018-01-01T09:00:00.000000000Z,13474.97,13596.95,13650,13459.98,13551.04335476025,138.05718175,1870818.855330266200000480077767,2499
coinbase-btc-usd-spot,2018-01-01T10:00:00.000000000Z,13596.95,13576.48,13600.01,13479.04,13539.97140586344,117.80164705,1595030.932620616899999859181448,2215
coinbase-btc-usd-spot,2018-01-01T11:00:00.000000000Z,13556.3,13279.99,13576.48,13188,13290.06887939022,445.09012454,5915278.412672973300007148261413,4996
coinbase-btc-usd-spot,2018-01-01T12:00:00.000000000Z,13280,13234.45,13339.99,13190,13276.72679623724,259.1309727,3440411.128981111699998729321629,2739
coinbase-btc-usd-spot,2018-01-01T13:00:00.000000000Z,13234.45,13115.95,13262.39,13054.43,13129.10137285522,537.39151501,7055467.677478537400000729067245,5275
coinbase-btc-usd-spot,2018-01-01T14:00:00.000000000Z,13115.95,13271.98,13277.73,12952.5,13040.08698673666,804.67304844,10493006.547540158500002367114281,7559
coinbase-btc-usd-spot,2018-01-01T15:00:00.000000000Z,13271.99,13255.29,13399,13178.85,13291.68936651811,531.69219527,7067087.49813093090000285820697,5192
coinbase-btc-usd-spot,2018-01-01T16:00:00.000000000Z,13250.37,13093.1,13272.38,13035,13146.23037488872,527.28738423,6931841.426860047099998497392315,3696
coinbase-btc-usd-spot,2018-01-01T17:00:00.000000000Z,13093.1,13138.11,13248.6,13093.09,13194.23815588039,380.26933814,5017364.210798170900000539749554,3440
coinbase-btc-usd-spot,2018-01-01T18:00:00.000000000Z,13138.12,13189.98,13321.23,13114.47,13206.9383394442,552.89205543,7302011.284432572099999531640723,4065
coinbase-btc-usd-spot,2018-01-01T19:00:00.000000000Z,13189.98,13345.47,13350,13156.91,13260.17761417068,453.70157938,6016163.526408557999998844491538,3757
coinbase-btc-usd-spot,2018-01-01T20:00:00.000000000Z,13345.47,13469.01,13544.24,13345.46,13464.2372825543,575.89473162,7753983.316304605400002300981391,4798
