market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2021-01-01T00:00:00.000000000Z,28990.08,29066.58,29104.05,28751.82,28963.8307191321,1272.89086987,36867795.67884348639950146293,11964
coinbase-btc-usd-spot,2021-01-01T01:00:00.000000000Z,29066.58,29487.95,29545,29034.37,29382.76319560992,2354.20080831,69172924.86548618113067057278,15815
coinbase-btc-usd-spot,2021-01-01T02:00:00.000000000Z,29490.29,29249.05,29539.86,29162.21,29386.6337319865,1250.8757429,36759027.30082880808660384937,11136
coinbase-btc-usd-spot,2021-01-01T03:00:00.000000000Z,29249.05,29358.3,29417.61,29225.76,29323.31924274181,628.96425241,18443319.56569087548860213537,7351
coinbase-btc-usd-spot,2021-01-01T04:00:00.000000000Z,29358.3,29290.52,29465,29133.53,29351.25634655813,928.60649963,27255767.41572016581719791439,9197
coinbase-btc-usd-spot,2021-01-01T05:00:00.000000000Z,29287.95,29240.79,29305.32,29148.6,29225.5082887215,860.83258243,25158269.77300949361898608415,7067
coinbase-btc-usd-spot,2021-01-01T06:00:00.000000000Z,29246.06,29233.94,29320.04,29158.93,29231.43253466974,977.01031258,28559411.03785885810964608566,7130
coinbase-btc-usd-spot,2021-01-01T07:00:00.000000000Z,29233.93,29166.41,29234.87,28900,29082.8490287389,1269.89735715,36932233.11998798152440413859,7187
coinbase-btc-usd-spot,2021-01-01T08:00:00.000000000Z,29166.41,29074.87,29246.63,28928.16,29096.2267759723,850.29254538,24740304.72629520656284777537,11116
coinbase-btc-usd-spot,2021-01-01T09:00:00.000000000Z,29071.63,29280.43,29386.28,29039.15,29241.74065382219,517.12304541,15121577.97999393677656628263,8740
coinbase-btc-usd-spot,2021-01-01T10:00:00.000000000Z,29280.43,29314.62,29419.83,29233.49,29339.34651741303,453.74523055,13312588.54972991277890962713,5220
coinbase-btc-usd-spot,2021-01-01T11:00:00.000000000Z,29307.17,29391.06,29490,29301.48,29391.6496535586,451.82067569,13279755.00611460048606748323,5629
coinbase-btc-usd-spot,2021-01-01T12:00:00.000000000Z,29391.05,29317.09,29688.88,29226.42,29480.92194541576,1112.40544701,32794738.15495714133703224652,8588
coinbase-btc-usd-spot,2021-01-01T13:00:00.000000000Z,29314.93,29545.15,29558.7,29300,29455.45813585769,665.0537004,19589461.43022943758178400634,7569
coinbase-btc-usd-spot,2021-01-01T14:00:00.000000000Z,29545.15,29404.92,29634.83,29353.55,29487.19372670983,799.1848914,23565719.71617135138013261957,9462
coinbase-btc-usd-spot,2021-01-01T15:00:00.000000000Z,29404.78,29262.05,29475.83,29100,29308.9889254337,928.30114346,27207567.93313658055042915105,9581
coinbase-btc-usd-spot,2021-01-01T16:00:00.000000000Z,29260.78,29382.22,29436.72,29200,29347.29721452641,808.15634457,23717204.43990100654683018644,9180
coinbase-btc-usd-spot,2021-01-01T17:00:00.000000000Z,29382.22,29161.43,29418.57,29016.69,29260.65454989722,1083.79365442,31712511.72535430973146937571,10552
coinbase-btc-usd-spot,2021-01-01T18:00:00.000000000Z,29161.39,29145.76,29341.36,28700,29060.76008482302,1665.72700984,48407292.99976988406183720679,14270
coinbase-btc-usd-spot,2021-01-01T19:00:00.000000000Z,29145.76,29116.99,29200,29027.5,29131.83265496418,815.69386329,23762657.12304550650557507342,9762
coinbase-btc-usd-spot,2021-01-01T20:00:00.000000000Z,29116.93,29295.98,29368.83,28958,29236.27871397939,879.42714243,25711177.04472192995936659949,10173
coinbase-btc-usd-spot,2021-01-01T21:00:00.000000000Z,29289.62,29253.63,29375,29208.18,29296.19440708856,622.80092207,18245696.88987673110653661009,7940
coinbase-btc-usd-spot,2021-01-01T22:00:00.000000000Z,29244.43,29354.92,29409,29192.85,29352.52095597505,517.11241976,15178553.13760036871893269389,7680
coinbase-btc-usd-spot,2021-01-01T23:00:00.000000000Z,29354.92,29412.84,29417.95,29318.24,29374.4155263457,497.3360571,14608955.99748979072077286458,6654
coinbase-btc-usd-spot,2021-01-02T00:00:00.000000000Z,29413.29,29273.94,29413.33,29039,29244.81086441275,808.65502553,23648963.27618171880996084492,9593
coinbase-btc-usd-spot,2021-01-02T01:00:00.000000000Z,29273.93,29455.05,29495.59,29186.83,29351.48083405935,599.92892407,17608802.31663844930821176468,7492
coinbase-btc-usd-spot,2021-01-02T02:00:00.000000000Z,29455.05,29413.66,29561.73,29404.27,29492.57703732529,1260.46246975,37174286.49175917688922751824,8147
coinbase-btc-usd-spot,2021-01-02T03:00:00.000000000Z,29413.66,29440.01,29461.83,29340.13,29414.06050062564,550.15010289,16182148.41083187990885121489,6457
coinbase-btc-usd-spot,2021-01-02T04:00:00.000000000Z,29440.01,29440,29477.11,29301.51,29399.89438814574,570.37651942,16769009.43242615998116507236,6177
coinbase-btc-usd-spot,2021-01-02T05:00:00.000000000Z,29439.99,29683.03,29683.5,29439.99,29576.03960801669,698.53578407,20659922.01727131315015689124,7329
coinbase-btc-usd-spot,2021-01-02T06:00:00.000000000Z,29683.02,29799.98,29822,29550.03,29720.56772123706,937.22087566,27854736.50481012331668167845,8219
coinbase-btc-usd-spot,2021-01-02T07:00:00.000000000Z,29800.64,29837.78,29887,29725.01,29816.19772262662,614.8609252,18332814.91768033701780632946,6351
coinbase-btc-usd-spot,2021-01-02T08:00:00.000000000Z,29837.77,29911.15,29929.44,29720.12,29865.21089026203,618.37393884,18467868.09249859920907216008,5361
coinbase-btc-usd-spot,2021-01-02T09:00:00.000000000Z,29911.14,29691.36,29969.99,29639.14,29832.79030023467,840.82171688,25084057.95956433356193837607,5990
coinbase-btc-usd-spot,2021-01-02T10:00:00.000000000Z,29690.16,29752.49,29890,29550,29752.38682758783,585.88477371,17431470.42381367761845928354,4502
coinbase-btc-usd-spot,2021-01-02T11:00:00.000000000Z,29751.39,29829.72,29847.89,29704.16,29792.84797568614,426.22618616,12698491.96752137661718480164,3833
coinbase-btc-usd-spot,2021-01-02T12:00:00.000000000Z,29829.71,30645.08,30944,29805.14,30361.6215589759,3102.63722809,94201097.35405856612921421077,16871
coinbase-btc-usd-spot,2021-01-02T13:00:00.000000000Z,30645.07,31600,31600,30572.28,31039.34406440617,2585.94714116,80266103.04683276498038298317,19181
coinbase-btc-usd-spot,2021-01-02T14:00:00.000000000Z,31599.99,31350.89,31623,31100,31336.2071480285,2061.39018882,64596149.96977710927072440689,18790
