Date,GARCH_Volatility,EGARCH_Volatility,MSE_GARCH,MSE_EGARCH,MAE_GARCH,MAE_EGARCH,QLIKE_GARCH,QLIKE_EGARCH
2016-05-18 00:00:00+00:00,1.7327544096254532,1.6933429419280246,8.478156013233344,7.710061776940921,2.9117273246705886,2.7766997995715923,1.1296400922155971,1.0850476695772446
2016-05-19 00:00:00+00:00,1.692126360704946,1.6411292754809794,141.94475656502757,146.02410540150802,11.914057099285179,12.084043421037018,6.21292265503865,6.477449002705709
2016-05-20 00:00:00+00:00,1.9987466253500166,1.9058079103933911,1.6633121102611557,0.8589773306934035,1.289694580224774,0.9268102991947185,2.062213258772502,2.034640984666491
2016-05-21 00:00:00+00:00,2.002909859897842,1.9552576154401755,15.933602006410117,14.463387503079453,3.99169162215847,3.803076058019278,1.3941791718881142,1.3462665314055415
2016-05-22 00:00:00+00:00,1.9528838211512785,1.8851016927279811,9.501863360350255,7.965729723751556,3.0825092636276463,2.822362436639128,1.5303555348573754,1.473741386496457
2016-05-23 00:00:00+00:00,1.9208231147793244,1.8733436460004012,10.071320630736375,8.96038000709,3.1735344067358677,2.993389384475398,1.445371277557746,1.402492886657941
2016-05-24 00:00:00+00:00,1.8864130000417616,1.8515508058111325,12.048456044187866,11.160777441550554,3.471088596418689,3.3407749761919843,1.2939359444150704,1.2575631732908492
2016-05-25 00:00:00+00:00,1.8220538884418425,1.7800431786464628,5.366066795109374,4.6878770499322,2.316477238202304,2.1651505836620695,1.5021716017814808,1.4699528372252937
2016-05-26 00:00:00+00:00,1.8024284278107505,1.7832002070724782,7.071300510175541,6.709376638244434,2.6591917024117575,2.5902464435347525,1.3597441900024074,1.3422284241151692
2016-05-27 00:00:00+00:00,1.7747508589123866,1.7682250849105259,85.38582379198618,85.81364873669878,9.24044499967324,9.263565659976658,5.081026971511898,5.102748196688349
2016-05-28 00:00:00+00:00,2.0150320405248068,2.0166850574840103,11111.31299633655,11109.908028711276,105.41021296030357,105.40354846356585,28.362048519894316,28.319508853772906
2016-05-29 00:00:00+00:00,3.6323905460542636,3.2229871274977344,170.38200669178647,104.98934460844654,13.053045877946897,10.246430822898603,2.590485492616753,2.354212700772678
2016-05-30 00:00:00+00:00,3.405395764834479,2.991403456976257,93.62196127124507,49.38742237423539,9.675844214911951,7.027618542168847,2.6163626449497226,2.406145332233103
2016-05-31 00:00:00+00:00,3.2789566800201495,2.934181918168387,114.48605326859713,73.23392448501777,10.699815571709502,8.557682191167055,2.3798639492095828,2.158868366338826
2016-06-01 00:00:00+00:00,3.1133150491837744,2.7518120890424203,85.77853463500827,50.99972770375909,9.261670186041407,7.141409363967248,2.315849713445438,2.081445196464246
2016-06-02 00:00:00+00:00,3.001908200788771,2.6717485937469103,75.55628141549487,46.500115657622445,8.692311626690271,6.819099328915986,2.2339124456228583,2.010176329383502
2016-06-03 00:00:00+00:00,2.9470017521355487,2.5754097186035447,759.9768807660676,877.3303185915307,27.56767818961306,29.619762298025464,6.335810326640365,7.357703999678922
2016-06-04 00:00:00+00:00,3.3307078931701617,3.041797896187893,106.41796511687075,71.82270493694884,10.31590835151567,8.474827723142745,2.4764745555336627,2.3089518694525677
2016-06-05 00:00:00+00:00,3.1815086916416924,2.9133036687541853,101.66267708727214,71.37093170667097,10.082791135755622,8.448131847140584,2.318585402900703,2.1431960110201818
2016-06-06 00:00:00+00:00,3.0362449685473503,2.74179711593883,27.372405309383154,12.46465857520954,5.2318644200115845,3.530532335952971,2.653721490831021,2.54758295045686
2016-06-07 00:00:00+00:00,2.9627397318526656,2.754318818814103,53.473103462291405,37.466347382686024,7.312530578554281,6.120976015529388,2.3391613406499707,2.219492393700215
2016-06-08 00:00:00+00:00,2.8606889834079543,2.693456677519146,61.17141748199511,47.50494715290037,7.821215857013224,6.892383270894065,2.1464010811094156,2.0315955743333043
2016-06-09 00:00:00+00:00,2.7561804053377625,2.5864004203053903,43.75578788140408,32.578438524646714,6.614815785900926,5.707752493288993,2.1569247429347174,2.0472907781459964
2016-06-10 00:00:00+00:00,2.673313838982733,2.5261268461895385,47.66827099217756,37.686476349336026,6.904221244440068,6.138931205782976,2.0005552183311686,1.891359624644397
2016-06-11 00:00:00+00:00,2.5822036255346426,2.428477951513349,303.36088551076995,330.7861990826585,17.417258266178692,18.18752866891647,5.509436636442518,5.858460210888243
2016-06-12 00:00:00+00:00,2.874123849624692,2.770727152846517,10970.509182743146,11093.11494854187,104.74019850440969,105.32385745187018,15.790989391338035,16.757731764634627
2016-06-13 00:00:00+00:00,4.238049287547654,3.834018757064248,1.9752051470260652,3.4445207658857244,1.4054199183966567,1.8559420157660433,3.809958069410149,3.8140841249611706
2016-06-14 00:00:00+00:00,4.201781012585502,3.9334876136068213,71.9786690169374,39.70745883612697,8.484024340897273,6.30138546957151,3.3904711215769945,3.3317850210094777
2016-06-15 00:00:00+00:00,4.092228852452977,3.911822840362953,162.5699006775805,127.83267233807838,12.750290219347185,11.30631117288386,3.056802140938113,2.9891466945674017
2016-06-16 00:00:00+00:00,3.931859794269395,3.7914905622065955,6104.642539710743,6275.227363230993,78.13221192127318,79.21633267976367,8.79220827090599,9.17606243148984
2016-06-17 00:00:00+00:00,4.862453789084848,4.633353219351705,336.90393148576555,261.77454327201053,18.354942971465903,16.179448175757123,3.3867644319379835,3.3129065146277608
2016-06-18 00:00:00+00:00,4.642301851190905,4.44178278924771,430.88179595858014,358.5781677378852,20.757692452644637,18.936160321931297,3.1072303194278894,3.0223197779893933
